HIPERMERCADO SORIANA,32.641719,-115.469582
WAL-MART,31.859079,-116.606337
SUPER MERCADO ARAMBURO,24.135925,-110.311974
TORTILLERIAS TRADICIONALES,22.759129,-102.501312
TORTILLERIAS TRADICIONALES,22.763516,-102.546902
TORTILLERIAS TRADICIONALES,22.752433,-102.518679
TORTILLERIAS TRADICIONALES,20.962902,-89.620156
TORTILLERIAS TRADICIONALES,20.965607,-89.637507
TORTILLERIAS TRADICIONALES,20.951909,-89.637607
MEGA COMERCIAL MEXICANA,20.99783,-89.622778
HIPERMERCADO SORIANA,27.458949,-99.513434
SORIANA,19.31713,-98.221111
TORTILLERIAS TRADICIONALES,19.317082,-98.240369
TORTILLERIAS TRADICIONALES,20.981348,-89.626484
TORTILLERIAS TRADICIONALES,29.142288,-110.999687
TORTILLERIAS TRADICIONALES,17.992805,-92.932773
TORTILLERIAS TRADICIONALES,25.566398,-108.466538
SUPER LEY,31.291542,-110.938367
MEGA COMERCIAL MEXICANA,20.505481,-86.956948
DISTRIBUIDORA EL FLORIDO,31.84005,-116.603533
SORIANA,24.125121,-110.311812
CHEDRAUI,19.190629,-96.13477
WAL-MART,20.986878,-89.617292
HIPERMERCADO SORIANA,31.290525,-110.94576
SORIANA,29.069109,-110.968837
LEY EXPRESS,31.327646,-109.512407
BODEGA AURRERA,32.478084,-114.763224
CALIMAX,32.476434,-114.779069
WAL-MART,20.629611,-87.076585
WAL-MART,22.138927,-101.002616
SUPERMERCADOS SANTA FE,25.559436,-108.45992
SORIANA SUPER,21.50143,-104.903769
FARMACIA GUADALAJARA,25.683003,-100.313448
BODEGA AURRERA,17.045399,-96.730589
SORIANA,20.58766,-100.373224
MEGA COMERCIAL MEXICANA,20.676087,-103.429632
CHEDRAUI,19.310981,-99.634817
SORIANA SUPER,22.125627,-101.01977
MEGA COMERCIAL MEXICANA,24.816052,-107.365007
WAL-MART,21.154958,-86.833802
TORTILLERIAS TRADICIONALES,21.177089,-86.830359
TORTILLERIAS TRADICIONALES,21.177066,-86.830536
TORTILLERIAS TRADICIONALES,21.175248,-86.825166
TORTILLERIAS TRADICIONALES,19.061626,-98.210467
TORTILLERIAS TRADICIONALES,19.038998,-98.216915
TORTILLERIAS TRADICIONALES,20.589836,-100.376487
TORTILLERIAS TRADICIONALES,20.590178,-100.376592
TORTILLERIAS TRADICIONALES,17.05641,-96.69423
TORTILLERIAS TRADICIONALES,19.083338,-98.21183
SUPERAMA,19.033539,-98.224856
TORTILLERIAS TRADICIONALES,17.05878,-96.727256
SORIANA,25.705878,-100.340153
TORTILLERIAS TRADICIONALES,25.726812,-100.375219
TORTILLERIAS TRADICIONALES,25.627276,-100.287927
TORTILLERIAS TRADICIONALES,19.700067,-101.171953
WAL-MART,19.679384,-101.219963
MEGA COMERCIAL MEXICANA,18.933115,-99.232116
SUMESA,18.940941,-99.216744
SORIANA,19.294061,-99.128083
WAL-MART,21.922922,-102.297692
SUPERAMA,21.924674,-102.317444
MERCADO SORIANA,32.501148,-116.963882
WAL-MART,19.292431,-99.124237
MEGA COMERCIAL MEXICANA,19.373897,-99.122765
SORIANA,19.66346,-99.210757
BODEGA AURRERA EXPRESS,19.522554,-99.033324
SUPER CHEDRAUI,19.53413,-99.027345
WAL-MART,19.515342,-99.232299
SUPERAMA,19.295714,-99.155107
WAL-MART,19.38251,-99.079949
CHEDRAUI,16.862104,-99.809227
SORIANA,20.65431,-103.423083
BODEGA AURRERA,19.530151,-99.028912
TORTILLERIAS TRADICIONALES,19.706082,-101.183267
TORTILLERIAS TRADICIONALES,19.705713,-101.18596
TORTILLERIAS TRADICIONALES,19.699213,-101.174812
TORTILLERIAS TRADICIONALES,19.293699,-99.651564
SORIANA,19.601616,-99.190592
MERCADO SORIANA,19.558491,-99.023802
BODEGA AURRERA,19.558407,-99.025819
MERCADO SORIANA,19.55169,-99.019634
TORTILLERIAS TRADICIONALES,19.676737,-99.217186
SUPERAMA,19.368986,-99.121912
SORIANA,19.359962,-99.12233
WAL-MART,19.532646,-99.027852
SUPERAMA,19.297648,-99.136776
TORTILLERIAS TRADICIONALES,19.424012,-99.056162
TORTILLERIAS TRADICIONALES,19.396063,-99.105381
TORTILLERIAS TRADICIONALES,19.278185,-99.119797
TORTILLERIAS TRADICIONALES,19.278971,-99.121888
BODEGA AURRERA,19.380448,-99.101768
SUPERAMA,19.411468,-99.171176
MEGA COMERCIAL MEXICANA,19.64768,-99.206653
HIPERMERCADO SORIANA,32.641719,-115.469582
WAL-MART,31.859079,-116.606337
SMART & FINAL DEL NOROESTE,32.64935,-115.4716
SUPER MERCADO ARAMBURO,24.135925,-110.311974
HIPERMERCADO SORIANA,27.458949,-99.513434
SORIANA,19.31713,-98.221111
MEGA COMERCIAL MEXICANA,20.99783,-89.622778
SUPER LEY,31.291542,-110.938367
WAL-MART,21.154958,-86.833802
MEGA COMERCIAL MEXICANA,20.505481,-86.956948
MEGA COMERCIAL MEXICANA,24.816052,-107.365007
SORIANA,25.705878,-100.340153
SUPERAMA,19.033539,-98.224856
SUPER LILI,19.706152,-101.182936
MERCADO SORIANA,19.558491,-99.023802
BODEGA AURRERA,19.558407,-99.025819
WAL-MART,19.532646,-99.027852
MERCADO SORIANA,19.55169,-99.019634
SORIANA,19.601616,-99.190592
SUPERAMA,19.297648,-99.136776
SUPERAMA,19.368986,-99.121912
SORIANA,19.359962,-99.12233
BODEGA AURRERA,19.267356,-99.116357
BODEGA AURRERA,19.380448,-99.101768
SUPERAMA,19.411468,-99.171176
MEGA COMERCIAL MEXICANA,19.64768,-99.206653
WAL-MART,20.094526,-98.758178
WAL-MART,20.678954,-103.429244
MERKABASTOS,20.631208,-103.435851
SORIANA,21.107162,-101.660872
HIPERMERCADO SORIANA,25.555028,-103.505483
WAL-MART,19.257428,-103.720523
HIPERMERCADO SORIANA,16.747273,-93.081601
HIPERMERCADO SORIANA,25.435185,-101.003065
BODEGA AURRERA,29.553888,-104.415266
CHEDRAUI,24.011236,-104.661718
BODEGA AURRERA,21.132543,-101.659225
FARMACIA GUADALAJARA,21.124324,-101.685945
HIPERMERCADO SORIANA,16.858598,-99.89027
BODEGA AURRERA,16.754378,-93.121102
BODEGA AURRERA,31.659331,-106.389823
WAL-MART,31.633608,-106.393285
WAL-MART,22.890285,-109.916942
BODEGA AURRERA,19.826717,-90.53463
HIPERMERCADO SORIANA,18.650149,-91.805009
SUPER GURIERREZ,28.695849,-100.555588
WAL-MART,22.890285,-109.916942
BODEGA AURRERA,19.826717,-90.53463
SUPER GURIERREZ,28.695849,-100.555588
SUPERMERCADOS SANTA FE,25.559436,-108.45992
BODEGA AURRERA,32.478084,-114.763224
CHEDRAUI,19.190629,-96.13477
SUPER GURIERREZ,28.697279,-100.517415
HIPERMERCADO SORIANA,32.641719,-115.469582
WAL-MART,31.859079,-116.606337
SUPER GURIERREZ,28.697279,-100.517415
WAL-MART,21.154958,-86.833802
SORIANA SUPER,22.125627,-101.01977
SORIANA,19.601616,-99.190592
MERCADO SORIANA,19.558491,-99.023802
BODEGA AURRERA,19.558407,-99.025819
WAL-MART,19.532646,-99.027852
MERCADO SORIANA,19.55169,-99.019634
SUPERAMA,19.411468,-99.171176
MEGA COMERCIAL MEXICANA,19.64768,-99.206653
BODEGA AURRERA,19.291641,-99.12561
WAL-MART,20.678954,-103.429244
FARMACIA GUADALAJARA,20.635191,-103.414178
BODEGA AURRERA,19.267356,-99.116357
BODEGA AURRERA,19.380448,-99.101768
WAL-MART,19.257428,-103.720523
HIPERMERCADO SORIANA,32.641719,-115.469582
WAL-MART,31.859079,-116.606337
SUPER MERCADO ARAMBURO,24.135925,-110.311974
MEGA COMERCIAL MEXICANA,20.99783,-89.622778
BODEGA AURRERA,19.291641,-99.12561
TORTILLERIAS TRADICIONALES,19.675005,-99.206418
MERKABASTOS,20.631208,-103.435851
BODEGA AURRERA,19.654503,-99.206484
BODEGA AURRERA,19.267356,-99.116357
TORTILLERIAS TRADICIONALES,20.646007,-103.42787
TORTILLERIAS TRADICIONALES,20.128085,-98.730175
TORTILLERIAS TRADICIONALES,20.124272,-98.730374
WAL-MART,20.678954,-103.429244
SORIANA,21.107162,-101.660872
HIPERMERCADO SORIANA,16.747273,-93.081601
SUPER GURIERREZ,28.697279,-100.517415
HIPERMERCADO SORIANA,25.555028,-103.505483
WAL-MART,20.986878,-89.617292
SORIANA SUPER,22.758666,-102.538029
BODEGA AURRERA,17.045399,-96.730589
DISTRIBUIDORA EL FLORIDO,31.84005,-116.603533
SORIANA,24.125121,-110.311812
WAL-MART,22.890285,-109.916942
TORTILLERIAS TRADICIONALES,22.755001,-102.498847
WAL-MART,20.986878,-89.617292
SORIANA SUPER,22.758666,-102.538029
CHEDRAUI,19.190629,-96.13477
TORTILLERIAS TRADICIONALES,20.977604,-89.628847
BODEGA AURRERA,32.478084,-114.763224
CALIMAX,32.476434,-114.779069
WAL-MART,18.000933,-92.925282
TORTILLERIAS TRADICIONALES,18.02621,-92.92606
TORTILLERIAS TRADICIONALES,25.561817,-108.462919
SORIANA,29.069109,-110.968837
TORTILLERIAS TRADICIONALES,29.111605,-110.974429
WAL-MART,19.257428,-103.720523
